{'value': {'iter': 14, 'mutation_prob': 0.2382728234032922, 'food_benefit': 4, 'adj_risk': 4, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 457.96942216704366}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 497.9722018348624}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 555.1006131825945}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 519.5060750232088}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 625.0959212774061}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 430.0660893843868}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 383.44056616159327}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 322.27197304617596}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 491.586750879268}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 430.35135478910485}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 398.39527961932976}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 457.97899055923864}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 390.2407740954335}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 416.00746866540845}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 306.1914381586308}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 380.872027561828}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 520.8680211009856}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 429.1218333784209}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 382.8022106316029}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 432.2337970564229}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 492.38259070084837}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 616.0538317369449}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 481.60989321623}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 524.6614283853942}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 369.7891102441325}
{'value': {'iter': 16, 'mutation_prob': 0.7006361562525962, 'food_benefit': 2, 'adj_risk': 10, 'kill_reward': 15}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 353.22822684959414}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 559.8943271680549}
{'value': {'iter': 15, 'mutation_prob': 0.6587415457726593, 'food_benefit': 4, 'adj_risk': 9, 'kill_reward': 16}, 'range': {'iter': [1, 25], 'mutation_prob': [0.0, 1.0], 'food_benefit': [2, 10], 'adj_risk': [1, 12], 'kill_reward': [5, 20]}, 'fitness': 369.42100578897526}
